gene_id	dmso_a	dmso_b	thz500_a	thz500_b	thz100_a	thz100_b	actinomycin150_a	actinomycin150_b	actinomycin10_a	actinomycin10_b
ENSG00000005206.16	1942	1304	2099	1697	1656	2167	1971	2523	2203	1243
ENSG00000005238.19	3811	2533	659	593	3479	3868	1347	1829	4244	2670
ENSG00000005243.9	3248	2094	3622	3102	2959	3068	3361	4691	3342	2252
ENSG00000005249.12	1183	703	969	812	967	1079	734	769	876	591
ENSG00000005302.17	491	326	292	261	402	464	333	410	524	340
ENSG00000005339.12	3496	2170	1350	1100	3102	3527	296	274	1916	1216
ENSG00000005379.15	1	0	0	0	0	0	0	2	2	1
ENSG00000005381.7	0	0	0	0	0	0	0	1	0	0
ENSG00000005421.8	0	0	0	0	0	0	0	1	0	0
ENSG00000005436.13	1071	668	637	566	839	1010	492	513	728	556
ENSG00000005448.16	1528	932	1420	1223	1371	1524	1297	1825	1619	1003
ENSG00000005469.11	1061	682	924	787	913	1015	659	687	1052	712
ENSG00000005471.15	18	12	18	19	15	32	19	19	18	14
ENSG00000005483.19	5746	3497	2415	1954	4986	5500	790	784	4082	2672
ENSG00000005486.16	5874	3703	5556	4780	5679	6127	6050	8109	7553	4815
ENSG00000005513.9	22	24	17	12	16	16	30	34	33	18
ENSG00000005700.14	5103	3138	1943	1655	3885	4279	1051	1132	2926	2051
ENSG00000005801.16	1935	1356	686	548	1771	1990	486	464	1965	1263
ENSG00000005810.17	1886	1161	1078	930	1552	1784	555	580	1060	710
ENSG00000005812.10	1374	745	500	428	1084	1293	322	330	1170	852
ENSG00000005844.17	0	0	22	19	0	0	0	1	1	0
ENSG00000005882.11	1099	688	1057	860	1057	1136	814	1099	1274	781
ENSG00000005884.17	112453	69179	125257	104485	104463	116260	114507	143178	116841	76560
ENSG00000005889.15	767	456	236	234	598	747	103	92	550	353
ENSG00000005893.15	10729	6657	10848	9185	8995	9775	10284	11472	10053	6783
ENSG00000005961.17	70	46	89	59	42	73	77	91	93	51
ENSG00000005981.12	0	0	0	0	0	0	0	0	0	0
ENSG00000006007.11	2474	1625	2308	2013	2277	2475	2316	2722	2714	1747
ENSG00000006015.17	980	735	987	793	923	1043	919	1160	1089	700
ENSG00000006016.10	4534	2928	5301	4470	4228	4791	5001	6643	5008	3133
ENSG00000006025.11	1578	933	1072	890	1424	1838	1065	1345	2031	1277
ENSG00000006042.11	1	3	2	3	1	3	5	3	5	0
ENSG00000006047.12	11	3	20	11	12	3	17	14	16	4
ENSG00000006059.3	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.13	14474	9268	2811	2480	13010	14898	1375	1569	8990	5699
ENSG00000006071.11	0	0	0	0	0	0	0	0	0	0
ENSG00000006116.3	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.14	4978	3113	4365	3927	4605	5505	4326	5498	5646	3620
ENSG00000006125.16	32284	20247	29865	24884	29246	32233	27342	32582	28893	20123
ENSG00000006128.11	0	1	0	0	0	0	0	0	0	0
ENSG00000006194.9	1408	1024	477	437	1402	1552	404	530	1660	1031
ENSG00000006210.6	4099	2457	1741	1450	3802	4225	1658	1933	4432	2909
ENSG00000006282.19	4553	2876	5202	4300	4285	4916	5148	6628	5235	3325
ENSG00000006283.17	16	5	15	14	12	17	9	8	20	11
ENSG00000006327.13	12826	8935	4509	3714	11115	12672	3645	4691	12163	7760
ENSG00000006377.10	134	94	78	42	143	166	119	140	130	117
ENSG00000006432.15	1170	692	321	284	947	1081	80	89	838	576
ENSG00000006451.7	4706	3105	2337	1920	3975	4485	1188	1359	3657	2418
ENSG00000006453.13	5449	3616	3830	3269	5023	5742	2110	2649	4073	2615
ENSG00000006459.10	1023	614	444	391	771	875	97	104	583	468
ENSG00000006468.13	18384	10751	15894	13331	14211	14784	13197	14217	14324	9312
ENSG00000006530.15	3554	2253	2118	1822	3179	3644	1630	1948	2548	1680
ENSG00000006534.15	1973	1178	2092	1826	1869	1917	2080	2586	2102	1379
ENSG00000006555.10	0	0	0	1	0	0	0	0	1	0
ENSG00000006576.16	8800	5228	7748	6429	6818	7603	6554	7008	6997	4745
ENSG00000006606.8	1	0	0	0	0	1	1	0	1	0
ENSG00000006607.13	3959	2425	2704	2253	3685	4295	1162	1309	2823	1822
ENSG00000006611.15	1	0	1	1	0	1	0	1	0	1
ENSG00000006625.17	3263	2179	3025	2415	2825	3343	2462	3066	2915	1900
ENSG00000006634.7	1781	1129	611	503	1450	1693	193	268	1605	1034
ENSG00000006638.11	435	309	140	121	427	493	121	177	550	366
ENSG00000006652.13	4119	2834	1723	1493	3609	4307	595	668	3348	2304
ENSG00000006659.12	0	0	0	1	0	0	0	0	0	0
ENSG00000006695.10	1202	753	495	429	1064	1240	125	148	730	508
ENSG00000006704.10	2502	1565	1102	952	2166	2232	530	665	1459	755
ENSG00000006712.14	5923	3567	3648	2937	5212	5814	3429	4245	5736	3739
ENSG00000006715.15	5824	3677	5625	4597	4753	5355	4793	5545	4492	3016
ENSG00000006740.16	61	48	76	60	61	91	57	58	58	28
